frequency_hz,psd_single_a2_per_hz
1.000000e+06,1.000100e-20
1.221677e+06,8.186470e-21
1.492496e+06,6.701185e-21
1.823348e+06,5.485417e-21
2.227543e+06,4.490251e-21
2.721338e+06,3.675663e-21
3.324598e+06,3.008882e-21
4.061586e+06,2.463092e-21
4.961948e+06,2.016338e-21
6.061899e+06,1.650648e-21
7.405685e+06,1.351314e-21
9.047358e+06,1.106295e-21
1.105295e+07,9.057358e-22
1.350315e+07,7.415679e-22
1.649649e+07,6.071896e-22
2.015338e+07,4.971947e-22
2.462092e+07,4.071587e-22
3.007882e+07,3.334599e-22
3.674662e+07,2.731339e-22
4.489251e+07,2.237543e-22
5.484417e+07,1.833348e-22
6.700188e+07,1.502495e-22
8.185467e+07,1.231677e-22
1.000000e+08,1.010000e-22
